drift_entry	rank_normalized_rhat	bulk_ess	tail_ess
LAM <- HLL	1.001670	2618.9	2131.2
TL <- SVL	1.001325	2294.3	9608.7
LAM <- FLL	1.001322	3687.2	4518.6
TL <- LAM	1.001295	2306.0	9787.3
TL <- HLL	1.001229	2542.4	2193.6
TL <- HL	1.000960	3345.7	12213.6
SVL <- HLL	1.000928	4279.8	3055.6
LAM <- SVL	1.000786	4167.3	15873.7
FLL <- SVL	1.000632	5919.1	24062.2
HLL <- HLL	1.000616	4319.8	2178.3
HLL <- TL	1.000577	5503.6	3870.1
HL <- TL	1.000519	8345.0	6031.5
FLL <- LAM	1.000517	5209.1	17397.6
SVL <- FLL	1.000462	11478.9	19283.5
HLL <- HL	1.000457	7638.5	3860.0
FLL <- HL	1.000428	5315.8	3736.9
LAM <- LAM	1.000426	11480.7	31482.0
FLL <- TL	1.000413	11170.4	11064.2
TL <- TL	1.000380	7205.6	5910.4
HLL <- LAM	1.000378	8833.0	16622.2
FLL <- HLL	1.000375	10063.1	16324.3
SVL <- LAM	1.000366	7126.5	6615.1
HL <- LAM	1.000356	8146.0	14818.8
HLL <- FLL	1.000321	5637.3	4750.1
TL <- FLL	1.000320	26372.2	20995.4
HLL <- SVL	1.000271	9078.4	3916.0
LAM <- TL	1.000255	21018.7	20081.7
HL <- FLL	1.000174	10212.2	27390.3
LAM <- HL	1.000169	16091.0	20655.5
HL <- HLL	1.000157	11541.1	5770.2
SVL <- SVL	1.000151	7004.9	4142.9
SVL <- TL	1.000144	16779.8	19978.8
FLL <- FLL	1.000120	9586.2	15513.5
SVL <- HL	1.000071	14879.7	4023.2
HL <- HL	1.000021	11563.6	23470.2
HL <- SVL	1.000019	20778.6	40139.9
