window,subset,n,target,source,direction,is_diagonal,positive,negative,zero,median,min,max,median_abs,min_abs,max_abs
J20_trade_7h,all5,5,XBTUSDT,XBTUSDT,XBTUSDT <- XBTUSDT,true,0,5,0,-0.245971276649,-0.24769828229,-0.241990886191,0.245971276649,0.241990886191,0.24769828229
J20_trade_7h,all5,5,XBTUSDT,ETHUSDT,XBTUSDT <- ETHUSDT,false,3,2,0,3.989226375e-06,-0.000252066928641,0.000633998229115,0.000201378724844,3.989226375e-06,0.000633998229115
J20_trade_7h,all5,5,XBTUSDT,LTCUSDT,XBTUSDT <- LTCUSDT,false,2,3,0,-1.45653399383e-05,-0.000389320450126,0.000243829837182,0.000222192618987,1.45653399383e-05,0.000389320450126
J20_trade_7h,all5,5,XBTUSDT,BCHUSDT,XBTUSDT <- BCHUSDT,false,4,1,0,0.000213872141015,-0.000150528511355,0.00150535659872,0.000213872141015,3.15519904653e-05,0.00150535659872
J20_trade_7h,all5,5,XBTUSDT,DOGEUSDT,XBTUSDT <- DOGEUSDT,false,1,4,0,-9.23884509118e-05,-0.00120450668132,0.000692814414307,0.000218473073002,8.94036676558e-05,0.00120450668132
J20_trade_7h,all5,5,ETHUSDT,XBTUSDT,ETHUSDT <- XBTUSDT,false,2,3,0,-3.51434313725e-05,-0.000204520988276,0.00430950499017,0.00016769192515,2.1971087805e-05,0.00430950499017
J20_trade_7h,all5,5,ETHUSDT,ETHUSDT,ETHUSDT <- ETHUSDT,true,0,5,0,-0.250561194559,-0.329631215232,-0.24326370489,0.250561194559,0.24326370489,0.329631215232
J20_trade_7h,all5,5,ETHUSDT,LTCUSDT,ETHUSDT <- LTCUSDT,false,5,0,0,0.00837803799402,0.00317709649723,0.0107998982953,0.00837803799402,0.00317709649723,0.0107998982953
J20_trade_7h,all5,5,ETHUSDT,BCHUSDT,ETHUSDT <- BCHUSDT,false,2,3,0,-0.000809728303135,-0.00174406852289,0.00117812911635,0.00117812911635,0.000709480301942,0.00174406852289
J20_trade_7h,all5,5,ETHUSDT,DOGEUSDT,ETHUSDT <- DOGEUSDT,false,3,2,0,0.000515614293531,-0.000771948232591,0.000917532056916,0.000716489760385,0.000444806628507,0.000917532056916
J20_trade_7h,all5,5,LTCUSDT,XBTUSDT,LTCUSDT <- XBTUSDT,false,2,3,0,-0.000153742188203,-0.000532136782989,0.000884886127237,0.000369507337829,0.000153742188203,0.000884886127237
J20_trade_7h,all5,5,LTCUSDT,ETHUSDT,LTCUSDT <- ETHUSDT,false,0,5,0,-0.0066111547056,-0.0238650069228,-0.00606597518237,0.0066111547056,0.00606597518237,0.0238650069228
J20_trade_7h,all5,5,LTCUSDT,LTCUSDT,LTCUSDT <- LTCUSDT,true,0,5,0,-0.36703350872,-0.37549534615,-0.253860531345,0.36703350872,0.253860531345,0.37549534615
J20_trade_7h,all5,5,LTCUSDT,BCHUSDT,LTCUSDT <- BCHUSDT,false,3,2,0,0.0425255526284,-0.0495274160995,0.0475810560138,0.0473549048949,5.54080174218e-05,0.0495274160995
J20_trade_7h,all5,5,LTCUSDT,DOGEUSDT,LTCUSDT <- DOGEUSDT,false,1,4,0,-0.0440515791645,-0.0502976428548,0.053648302828,0.0474049519268,0.00882191570253,0.053648302828
J20_trade_7h,all5,5,BCHUSDT,XBTUSDT,BCHUSDT <- XBTUSDT,false,2,3,0,-0.000399690200334,-0.00159137319502,0.0049896086436,0.000915864481789,0.000399690200334,0.0049896086436
J20_trade_7h,all5,5,BCHUSDT,ETHUSDT,BCHUSDT <- ETHUSDT,false,4,1,0,0.000658791083172,-0.000949218255548,0.00344443254192,0.000949218255548,0.000153101366233,0.00344443254192
J20_trade_7h,all5,5,BCHUSDT,LTCUSDT,BCHUSDT <- LTCUSDT,false,2,3,0,-0.0210501724139,-0.0224889873208,0.0255342149188,0.0214429175122,0.00124574443183,0.0255342149188
J20_trade_7h,all5,5,BCHUSDT,BCHUSDT,BCHUSDT <- BCHUSDT,true,0,5,0,-0.722293787315,-0.737574806144,-0.705457592478,0.722293787315,0.705457592478,0.737574806144
