row,col,value
1,1,-0.245971276649
1,2,-0.000201378724844
1,3,-0.000389320450126
1,4,-0.000150528511355
1,5,-0.000218473073002
2,1,-0.000204520988276
2,2,-0.24326370489
2,3,0.00823417572405
2,4,-0.00174406852289
2,5,0.000917532056916
3,1,-0.000153742188203
3,2,-0.00606597518237
3,3,-0.36703350872
3,4,0.0473549048949
3,5,-0.0474049519268
4,1,0.000915864481789
4,2,0.000153101366233
4,3,-0.0210501724139
4,4,-0.722293787315
4,5,0.418978151475
5,1,-0.000405937213727
5,2,-0.000148038579808
5,3,0.00220807062288
5,4,0.0161223482918
5,5,-0.558412056707
