row,col,value
1,1,0.206317928764
1,2,0.00350523867689
1,3,-6.28622799718e-05
1,4,-0.000199253635418
1,5,-0.000382422486656
2,1,-0.00404400793571
2,2,0.35066849356
2,3,0.000440580654324
2,4,-2.72889736738e-06
2,5,-8.65578797877e-05
3,1,0.000136687728075
3,2,0.000475602179736
3,3,0.297856332621
3,4,-0.000771635352711
3,5,0.000899194072328
4,1,0.000167940396238
4,2,-7.30969804462e-07
4,3,0.000937423452319
4,4,0.702241695488
4,5,-0.402451825704
5,1,5.23450737169e-05
5,2,-0.000143291340809
5,3,1.41307749425e-05
5,4,-0.0161735235396
5,5,0.559448459761
