row,col,value
1,1,-0.791238040158
1,2,6.46684594558e-05
1,3,3.26028440802e-05
1,4,-2.74508441495e-05
1,5,0.000258797653175
2,1,-4.88847686131e-05
2,2,-1.1673898702
2,3,0.0067585662574
2,4,-0.000266973806559
2,5,-0.00011782780708
3,1,3.2885093983e-05
3,2,-0.00778385868409
3,3,-0.776141108717
3,4,-0.000209785040697
3,5,0.000723388069331
4,1,-5.53725641285e-05
4,2,-0.000350988328393
4,3,-0.000181165930773
4,4,-0.932343432049
4,5,0.010887625673
5,1,-7.22214295606e-06
5,2,-2.97636980949e-05
5,3,5.51739414036e-05
5,4,-0.00299512089728
5,5,-1.6092207944
