row,col,value
1,1,0.45258776831
1,2,7.48203097524e-05
1,3,-5.74839837276e-05
1,4,0.00011050018884
1,5,-0.00030649340428
2,1,2.81726824218e-05
2,2,0.309673699132
2,3,0.00259917208246
2,4,-0.000250285439917
2,5,0.000259149243655
3,1,-4.75528798952e-05
3,2,-0.00323176340476
3,3,0.459134426133
3,4,6.4776492821e-05
3,5,-0.000200983198604
4,1,6.51401630025e-05
4,2,0.000888335289463
4,3,0.00144192296963
4,4,0.391315021948
4,5,0.00291046413346
5,1,-9.96098083314e-05
5,2,0.000438236505082
5,3,-9.56973206658e-05
5,4,-0.00140786998821
5,5,0.200129237412
