row,col,value
1,1,1.48607729254
1,2,9.61264820146e-05
1,3,0.000238683996459
1,4,-0.000101668346635
1,5,0.000908795655209
2,1,0.000216285073995
2,2,1.79229444346
2,3,-0.00395149251878
2,4,0.000142295760747
2,5,-0.000313463714263
3,1,0.000271778454859
3,2,0.00894722514976
3,3,1.47579316502
3,4,-0.000478320433684
3,5,-0.000458635597716
4,1,-0.00024438814418
4,2,-0.000396220556504
4,3,0.000741412380748
4,4,1.59085008136
4,5,-0.00795691227831
5,1,0.000153589019085
5,2,4.58680883129e-05
5,3,-0.000603272583539
5,4,0.00465536801656
5,5,2.23384238768
