panel,x_column,x_value,fit_family,runs_total,runs_completed,runs_converged,completion_rate,optimization_success_rate,rmse_median_completed,rmse_q1_completed,rmse_q3_completed,rmse_min_completed,rmse_max_completed,median_selected_likelihood
Real/complex boundary,t_ratio_to_boundary,0.5,orthogonal H-SSBP,25,25,25,1,1,0.15189940215701384,0.12459224477905256,0.19427135508355675,0.05970770291266093,0.2729086630445944,2039.3934763608383
Real/complex boundary,t_ratio_to_boundary,0.5,generic dense-R H-SSBP,25,25,25,1,1,0.2598143795878454,0.2277008355058101,0.28528310147508384,0.1776048067605623,0.3775609030862847,2047.139929976166
Real/complex boundary,t_ratio_to_boundary,0.75,orthogonal H-SSBP,25,25,25,1,1,0.1528802839005419,0.12411811734019712,0.19401103428921312,0.05949997349149392,0.27279276252637297,2039.5536762979425
Real/complex boundary,t_ratio_to_boundary,0.75,generic dense-R H-SSBP,25,25,25,1,1,0.2608892980453421,0.22838181124080056,0.285512210423447,0.17672039031587827,0.3781941458646,2047.142397835371
Real/complex boundary,t_ratio_to_boundary,0.95,orthogonal H-SSBP,25,25,25,1,1,0.15367387608463107,0.12389408984899136,0.19379464034738356,0.05960911307043188,0.2727398415166923,2039.6727326068085
Real/complex boundary,t_ratio_to_boundary,0.95,generic dense-R H-SSBP,25,25,25,1,1,0.2616572781015743,0.22889914363246824,0.28564066885664063,0.17728206741213104,0.3786180880453941,2046.959006681646
Real/complex boundary,t_ratio_to_boundary,1,orthogonal H-SSBP,25,25,25,1,1,0.15387299258354287,0.1238591046782085,0.19373888090923955,0.05967307692164064,0.272731969581904,2039.7014085416345
Real/complex boundary,t_ratio_to_boundary,1,generic dense-R H-SSBP,25,25,25,1,1,0.2618285160416438,0.22723108385086707,0.28566579879886883,0.17725023649970223,0.3787211751240005,2046.9398043801796
Real/complex boundary,t_ratio_to_boundary,1.05,orthogonal H-SSBP,25,25,25,1,1,0.15407181358449487,0.1238324494232055,0.1936822951874831,0.05975145524553942,0.2727265355036307,2039.729689342407
Real/complex boundary,t_ratio_to_boundary,1.05,generic dense-R H-SSBP,25,25,25,1,1,0.2617961035092096,0.2291468933177174,0.2856878475083175,0.17722049593779846,0.37881367688264944,2047.0364508230443
Real/complex boundary,t_ratio_to_boundary,1.25,orthogonal H-SSBP,25,25,25,1,1,0.15486619404021884,0.12380637780663924,0.1934461675927084,0.06019886073460435,0.27272382429783215,2039.839246157036
Real/complex boundary,t_ratio_to_boundary,1.25,generic dense-R H-SSBP,25,25,25,1,1,0.26104993369903506,0.2267618632575081,0.2857479037425028,0.17710943734585033,0.37914209795179465,2046.84709893658
Real/complex boundary,t_ratio_to_boundary,1.5,orthogonal H-SSBP,25,25,25,1,1,0.15585072219187027,0.12394631704990336,0.19312517548963065,0.06103294636812816,0.272764909445034,2039.969435733398
Real/complex boundary,t_ratio_to_boundary,1.5,generic dense-R H-SSBP,25,25,25,1,1,0.2601266984970592,0.23002352270090007,0.28575964957635597,0.17699911460862255,0.3794579223260163,2046.8913834817397
Non-orthogonal shear,shear_multiplier,3,orthogonal H-SSBP,25,25,25,1,1,0.6482908858116202,0.634105844248915,0.7075109145482077,0.6008467255992849,0.7843220491142135,2039.7233344567564
Non-orthogonal shear,shear_multiplier,3,generic dense-R H-SSBP,25,25,25,1,1,0.34785584537374087,0.30769758090464067,0.38258913561215,0.24706690050439184,0.4629779856325358,2060.357492655845
Non-orthogonal shear,shear_multiplier,4,orthogonal H-SSBP,25,25,25,1,1,0.863511092772817,0.834615257386685,0.9137760730550332,0.7843916746988148,1.0018636568367936,2026.5840084286267
Non-orthogonal shear,shear_multiplier,4,generic dense-R H-SSBP,25,25,25,1,1,0.3405582450804669,0.2989642617346845,0.39516945147247384,0.25888273260599914,0.493430962976941,2057.5929919179403
Non-orthogonal shear,shear_multiplier,5,orthogonal H-SSBP,25,25,25,1,1,1.089271215516166,1.0537326543998669,1.146499196978352,0.9815789074724922,1.2383163916403943,2011.9148718177123
Non-orthogonal shear,shear_multiplier,5,generic dense-R H-SSBP,25,25,25,1,1,0.3403813384156482,0.2945087828007054,0.4042155961709017,0.25497981886499194,0.4960869142642512,2054.038835546792
Non-orthogonal shear,shear_multiplier,6,orthogonal H-SSBP,25,25,25,1,1,1.3210091386249172,1.3011182630654388,1.3590217347289657,1.189786728712074,1.4845520688698923,1994.681906110971
Non-orthogonal shear,shear_multiplier,6,generic dense-R H-SSBP,25,25,25,1,1,0.33986776113453704,0.29710748444898183,0.3973845013194154,0.24932421917034295,0.5038662347600601,2049.756178407079
Non-orthogonal shear,shear_multiplier,7,orthogonal H-SSBP,25,25,25,1,1,1.558040710626328,1.5412623956183111,1.611473737702816,1.4073706302298838,1.7357004294059384,1975.4974559755065
Non-orthogonal shear,shear_multiplier,7,generic dense-R H-SSBP,25,25,25,1,1,0.3470221189128404,0.29708208472941516,0.3910557374169434,0.25537611479795175,0.5073927296090222,2045.0448242562024
Non-orthogonal shear,shear_multiplier,8,orthogonal H-SSBP,25,25,25,1,1,1.8031833126613113,1.783701510945485,1.86717892935445,1.6325169652224218,1.9892246098063209,1954.2169811081765
Non-orthogonal shear,shear_multiplier,8,generic dense-R H-SSBP,25,25,25,1,1,0.3576528181844385,0.29624782380996234,0.4039388223387645,0.2392416416025227,0.5078150597783686,2039.7651148927876
"Jordan(4,1) coupling",jordan_coupling,0.25,orthogonal H-SSBP,25,25,25,1,1,0.28523518974560463,0.25336472527676657,0.30284346723431893,0.207414324493378,0.3916609111844964,2072.68106896372
"Jordan(4,1) coupling",jordan_coupling,0.25,generic dense-R H-SSBP,25,25,25,1,1,0.32206426066867544,0.28394882743996064,0.367925008549602,0.22514511899951264,0.4550113366037208,2081.91609975355
"Jordan(4,1) coupling",jordan_coupling,0.5,orthogonal H-SSBP,25,25,25,1,1,0.31794728433693836,0.29500577269739425,0.33794670621279077,0.25324033559522263,0.4127230744169593,2069.4174743130425
"Jordan(4,1) coupling",jordan_coupling,0.5,generic dense-R H-SSBP,25,25,25,1,1,0.328808724092021,0.27848595649385055,0.3734418548087016,0.22091200236008232,0.4302004168758039,2082.5065560561034
"Jordan(4,1) coupling",jordan_coupling,0.75,orthogonal H-SSBP,25,25,25,1,1,0.33897853819920426,0.3164418497746281,0.3838770570767581,0.2797146522397638,0.4294731833185367,2070.728487403342
"Jordan(4,1) coupling",jordan_coupling,0.75,generic dense-R H-SSBP,25,25,25,1,1,0.3179301595294252,0.28683196120523796,0.3645776561145237,0.2237079883854138,0.4366025002410969,2082.3349393283806
"Jordan(4,1) coupling",jordan_coupling,1,orthogonal H-SSBP,25,25,25,1,1,0.3873475954034218,0.36478339347128047,0.4163419585378769,0.32119433758873234,0.4498588864603429,2064.090977187446
"Jordan(4,1) coupling",jordan_coupling,1,generic dense-R H-SSBP,25,25,25,1,1,0.30990292502856426,0.29199452950371335,0.3825222742038276,0.20064061288468968,0.445298666090447,2081.693624382113
"Jordan(4,1) coupling",jordan_coupling,1.25,orthogonal H-SSBP,25,25,25,1,1,0.4340110385850515,0.40961833073486154,0.4476730251259444,0.3533888900052346,0.5059871832969766,2052.3819142343164
"Jordan(4,1) coupling",jordan_coupling,1.25,generic dense-R H-SSBP,25,25,25,1,1,0.3271042849900599,0.2880057332499233,0.37567708017656026,0.2016438323948345,0.4653337559034352,2080.7438918855128
"Jordan(4,1) coupling",jordan_coupling,1.5,orthogonal H-SSBP,25,25,25,1,1,0.44448972136475606,0.4126515782505476,0.4909553088119102,0.38316684887250696,0.5665643346316653,2044.751044370615
"Jordan(4,1) coupling",jordan_coupling,1.5,generic dense-R H-SSBP,25,25,25,1,1,0.3274589176758123,0.28517868858788825,0.37083893130340834,0.20424159159026511,0.4789688119056281,2079.6110873346443
